restaurant_id,restaurant_name,url,restaurant_type,rating_average,num_of_reviews,price_level,address,latitude,longitude,phone,created_at,district
11,Nhà Bếp Xưa Restaurant,https://www.google.com/maps/place/Nh%C3%A0+B%E1%BA%BFp+X%C6%B0a+Restaurant/data=!4m7!3m6!1s0x314217f1aeaab4db:0xef0467544cfd59ae!8m2!3d16.066058!4d108.2443163!16s%2Fg%2F11s1s1qjt9!19sChIJ27SqrvEXQjERrln9TFRnBO8?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.8,5819,₫100–200K,"64B Hà Bổng, Phước Mỹ, Sơn Trà, Đà Nẵng 550000",16.0660629,108.2443161,906123858,2025-03-21 15:30:05.413,Sơn Trà
12,LoCo Restaurant - Danang seafood restaurant - 다낭 레스토랑,https://www.google.com/maps/place/LoCo+Restaurant+-+Danang+seafood+restaurant+-+%EB%8B%A4%EB%82%AD+%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91/data=!4m7!3m6!1s0x31421977569bbd1f:0xa664a343c71a38a1!8m2!3d16.0715002!4d108.2241655!16s%2Fg%2F11lh55xbhg!19sChIJH72bVncZQjERoTgax0OjZKY?authuser=0&hl=en&rclk=1,Restaurant,4.8,2288,₫₫,"1C Đ. Lê Duẩn, P, Hải Châu, Đà Nẵng 550000",16.0715618,108.2241898,906456785,2025-03-21 16:09:03.457,Hải Châu
13,Nhà Hàng Si Dining,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Si+Dining/data=!4m7!3m6!1s0x314217ac96f771cb:0x5dc112dabcab9bfd!8m2!3d16.0302295!4d108.2380523!16s%2Fg%2F11sxynmqgm!19sChIJy3H3lqwXQjER_ZurvNoSwV0?authuser=0&hl=en&rclk=1,Italian restaurant,4.9,461,"₫1,000,000+","1 Giang Châu 2 Phường Khuê Mỹ, Quận Ngũ Hành Sơn Da Nang City, 550000",16.0301876,108.23806,774464441,2025-03-21 20:04:39.537,Ngũ Hành Sơn
14,Nhà hàng Làn Gió,https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+L%C3%A0n+Gi%C3%B3/data=!4m7!3m6!1s0x314219d1a3a91435:0x57b4d75446272396!8m2!3d16.0666296!4d108.2238222!16s%2Fg%2F11wmzh9n6k!19sChIJNRSpo9EZQjERliMnRlTXtFc?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.9,1066,Unknown,"169 Trần Phú, Hải Châu 1, Hải Châu, Đà Nẵng 550000",16.0666866,108.2238159,973972074,2025-03-21 22:30:40.427,Hải Châu
15,Nhà hàng Thiên Kim,https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Thi%C3%AAn+Kim/data=!4m7!3m6!1s0x3134534782f65cc3:0xf8dabd543067b250!8m2!3d16.0666255!4d108.2246894!16s%2Fg%2F11stz8w28c!19sChIJw1z2gkdTNDERULJnMFS92vg?authuser=0&hl=en&rclk=1,Restaurant,4.8,6136,₫100–300K,"166 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng 550000",16.0666866,108.2246857,773566882,2025-03-21 22:59:30.207,Hải Châu
16,MeliOh Bistro Danang,https://www.google.com/maps/place/MeliOh+Bistro+Danang/data=!4m7!3m6!1s0x31421989d7ab6465:0x2154c03feb794a2d!8m2!3d16.0479831!4d108.2275127!16s%2Fg%2F11pcw49_s3!19sChIJZWSr14kZQjERLUp56z_AVCE?authuser=0&hl=en&rclk=1,Restaurant,4.6,308,Unknown,"A4 Đảo Xanh 4, Khu Biệt Thự Đảo Xanh, Hải Châu, Đà Nẵng 550000",16.0479374,108.227562,905263891,2025-03-22 12:26:23.987,Hải Châu
17,SIX ON SIX CAFE - BRUNCH & RESTAURANT,https://www.google.com/maps/place/SIX+ON+SIX+CAFE+-+BRUNCH+%26+RESTAURANT/data=!4m7!3m6!1s0x31421766e7e7a589:0xd9a579d9ca3dd6d!8m2!3d16.0432336!4d108.2442276!16s%2Fg%2F11dy_jx_2d!19sChIJiaXn52YXQjERbd2jnJ1Xmg0?authuser=0&hl=en&rclk=1,Restaurant,4.8,1664,₫100–200K,"64 Bà Huyện Thanh Quan, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000",16.0431881,108.2441864,946114967,2025-03-22 12:59:49.923,Ngũ Hành Sơn
18,Mỳ Quảng Cô Sáu,https://www.google.com/maps/place/M%E1%BB%B3+Qu%E1%BA%A3ng+C%C3%B4+S%C3%A1u/data=!4m7!3m6!1s0x3142195f06b31c81:0x1fe1c46b146c5f24!8m2!3d16.0661787!4d108.2296635!16s%2Fg%2F11h7qry5zx!19sChIJgRyzBl8ZQjERJF9sFGvE4R8?authuser=0&hl=en&rclk=1,Restaurant,4.7,880,"₫1–100,000","397 Đ. Trần Hưng Đạo, An Hải Trung, Sơn Trà, Đà Nẵng 550000",16.0661869,108.2296906,963982634,2025-03-22 13:44:00.450,Sơn Trà
19,EMO'S HOMECOOKED VIETNAMESE CUISINE,https://www.google.com/maps/place/EMO%27S+HOMECOOKED+VIETNAMESE+CUISINE/data=!4m7!3m6!1s0x314217641a07b4ef:0xe08cfd4c0fee906f!8m2!3d16.0581569!4d108.2454323!16s%2Fg%2F11d_tz40q7!19sChIJ77QHGmQXQjERb5DuD0z9jOA?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.8,2232,₫100–200K,"Đường Mỹ Khê 4, Phước Mỹ, Sơn Trà, Đà Nẵng 550000",16.0581875,108.2454376,934844988,2025-03-22 14:30:42.140,Sơn Trà
20,Restaurant PHỞ HOUSE,https://www.google.com/maps/place/Restaurant+PH%E1%BB%9E+HOUSE/data=!4m7!3m6!1s0x314219e6bf47737f:0x6878c75f48c9c205!8m2!3d16.0347606!4d108.2296899!16s%2Fg%2F11kqs7zfdh!19sChIJf3NHv-YZQjERBcLJSF_HeGg?authuser=0&hl=en&rclk=1,Restaurant,4.7,413,₫100–200K,"111 Nại Nam 8, Hoà Cường Bắc, Hải Châu, Đà Nẵng",16.0348129,108.2296906,708352141,2025-03-22 15:12:30.183,Hải Châu
21,Nhà Hàng Chay Ngọc Chi - Vegetarian Restaurant Michelin guide 2024,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Chay+Ng%E1%BB%8Dc+Chi+-+Vegetarian+Restaurant+Michelin+guide+2024/data=!4m7!3m6!1s0x314218333e6f093f:0x93629be0d4939e13!8m2!3d16.0618803!4d108.2174326!16s%2Fg%2F1trtrszc!19sChIJPwlvPjMYQjERE56T1OCbYpM?authuser=0&hl=en&rclk=1,Vegetarian restaurant,4.6,971,"₫1–100,000","202 Hoàng Diệu, Nam Dương, Hải Châu, Đà Nẵng 550000",16.0619373,108.2174377,935085088,2025-03-22 15:31:34.860,Hải Châu
22,Anchor Beer Club,https://www.google.com/maps/place/Anchor+Beer+Club/data=!4m7!3m6!1s0x314219b522bfd755:0xfdea89c224650826!8m2!3d16.0634057!4d108.2117934!16s%2Fg%2F11ckr6dzpv!19sChIJVde_IrUZQjERJghlJMKJ6v0?authuser=0&hl=en&rclk=1,Restaurant,4.4,342,₫₫₫,"29 Quang Dũng, Vĩnh Trung, Thanh Khê, Đà Nẵng 550000",16.0634384,108.2118149,379172285,2025-03-22 16:26:13.847,Thanh Khê
23,Nhà Hàng Đà Nẵng - Ho Xanh Restaurant,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+%C4%90%C3%A0+N%E1%BA%B5ng+-+Ho+Xanh+Restaurant/data=!4m7!3m6!1s0x314219fa3a78b1df:0x57f7ec7f5d722471!8m2!3d16.0626895!4d108.2128037!16s%2Fg%2F11m8rh5194!19sChIJ37F4OvoZQjERcSRyXX_s91c?authuser=0&hl=en&rclk=1,Restaurant,4.0,177,₫₫,"K 1 Đỗ Quang, Vĩnh Trung, Thanh Khê, Đà Nẵng 550000",16.0626869,108.2128143,905718477,2025-03-22 21:11:12.577,Thanh Khê
24,Benaras Central Da Nang,https://www.google.com/maps/place/Benaras+Central+Da+Nang/data=!4m7!3m6!1s0x3142114786b68157:0x7f5c53574c396aac!8m2!3d16.0557029!4d108.2436136!16s%2Fg%2F11k4ypwdxw!19sChIJV4G2hkcRQjERrGo5TFdTXH8?authuser=0&hl=en&rclk=1,Indian restaurant,4.1,202,Unknown,"207 Nguyễn Văn Thoại, Anh Hai Dong, Sơn Trà, Đà Nẵng 550000",16.055687,108.2435608,961888597,2025-03-22 22:19:32.750,Sơn Trà
25,Takoyaki Hatachi Da Nang,https://www.google.com/maps/place/Takoyaki+Hatachi+Da+Nang/data=!4m7!3m6!1s0x314219a7f20035bb:0x473af075639eed1a!8m2!3d16.0617658!4d108.2090389!16s%2Fg%2F11mv_bt2dc!19sChIJuzUA8qcZQjERGu2eY3XwOkc?authuser=0&hl=en&rclk=1,Takoyaki restaurant,4.9,64,"₫1–100,000","118 Phan Thanh, Thạc Gián, Thanh Khê, Đà Nẵng 550000",16.0618134,108.2090607,917012369,2025-03-22 23:16:43.770,Thanh Khê
26,Le Rendez Vous,https://www.google.com/maps/place/Le+Rendez+Vous/data=!4m7!3m6!1s0x31421839596606ab:0xce410a60dc47ec05!8m2!3d16.0692531!4d108.2426405!16s%2Fg%2F11b90fg28t!19sChIJqwZmWTkYQjERBexH3GAKQc4?authuser=0&hl=en&rclk=1,French restaurant,4.3,559,"₫1,000,000+","26 Nguyễn Cao Luyện, An Hải Bắc, Sơn Trà, Đà Nẵng 55000",16.069313,108.242691,905441956,2025-03-23 09:25:25.310,Sơn Trà
27,Bún Bò Bà Rơi,https://www.google.com/maps/place/B%C3%BAn+B%C3%B2+B%C3%A0+R%C6%A1i/data=!4m7!3m6!1s0x314219a36393cfd5:0x47f6c1f0cc797cce!8m2!3d16.0537181!4d108.2214331!16s%2Fg%2F11qc8jwwmk!19sChIJ1c-TY6MZQjERznx5zPDB9kc?authuser=0&hl=en&rclk=1,Noodle shop,4.5,199,"₫1–100,000","5 Phan Thành Tài, Hòa Thuận Đông, Hải Châu, Đà Nẵng 550000",16.053688,108.2214355,704196497,2025-03-23 09:27:47.143,Hải Châu
28,Quán Tý,https://www.google.com/maps/place/Qu%C3%A1n+T%C3%BD/data=!4m7!3m6!1s0x314217b43c2e8da1:0x87b96ffd911858ab!8m2!3d16.0489376!4d108.2450191!16s%2Fg%2F11txy50nqv!19sChIJoY0uPLQXQjERq1gYkf1vuYc?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.3,87,"₫1–100,000","5 An Thượng 6, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000",16.0489368,108.2450638,979298398,2025-03-23 09:53:25.670,Ngũ Hành Sơn
29,Ẩm Thực Năm Hiền - Bánh Xèo Tôm Nhảy,https://www.google.com/maps/place/%E1%BA%A8m+Th%E1%BB%B1c+N%C4%83m+Hi%E1%BB%81n+-+B%C3%A1nh+X%C3%A8o+T%C3%B4m+Nh%E1%BA%A3y/data=!4m7!3m6!1s0x314219b48c51adc5:0x53338f0060c206a0!8m2!3d16.0646855!4d108.2079332!16s%2Fg%2F11bwp1q2r_!19sChIJxa1RjLQZQjERoAbCYACPM1M?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.0,852,"₫1–100,000","46 Phan Thanh, Thạc Gián, Thanh Khê, Đà Nẵng 550000",16.0646877,108.2079391,905684246,2025-03-23 10:10:29.710,Thanh Khê
30,Indian Ganga Restaurant Da Nang - Indian Restaurant,https://www.google.com/maps/place/Indian+Ganga+Restaurant+Da+Nang+-+Indian+Restaurant/data=!4m7!3m6!1s0x314217ab3c35a2df:0x24b1e85b67502a7!8m2!3d16.0483942!4d108.2436262!16s%2Fg%2F11ss5n06wm!19sChIJ36I1PKsXQjERpwJ1toUeSwI?authuser=0&hl=en&rclk=1,Indian restaurant,4.8,1825,₫100–200K,"79 Mai Thúc Lân, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000",16.0484371,108.2436905,899870554,2025-03-23 10:51:32.733,Ngũ Hành Sơn
31,Cơm tấm Bà Lang,https://www.google.com/maps/place/C%C6%A1m+t%E1%BA%A5m+B%C3%A0+Lang/data=!4m7!3m6!1s0x3142183322607a9d:0x7388864186c35564!8m2!3d16.0652368!4d108.2222437!16s%2Fg%2F11dzd69qm1!19sChIJnXpgIjMYQjERZFXDhkGGiHM?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.3,730,"₫1–100,000","120 Yên Bái, Phước Ninh, Hải Châu, Đà Nẵng 550000",16.0651875,108.2221909,772599599,2025-03-23 12:00:34.393,Hải Châu
32,Bánh Xèo Bà Dưỡng,https://www.google.com/maps/place/B%C3%A1nh+X%C3%A8o+B%C3%A0+D%C6%B0%E1%BB%A1ng/data=!4m7!3m6!1s0x314219ca278828ad:0xe50ace1cbe8f6f9f!8m2!3d16.0588772!4d108.216166!16s%2Fg%2F11csqxxgqn!19sChIJrSiIJ8oZQjERn2-PvhzOCuU?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.3,7977,"₫1–100,000","280/23 Hoàng Diệu, Bình Hiên, Hải Châu, Đà Nẵng 550000",16.0589371,108.2161865,2363873168,2025-03-23 12:34:39.470,Hải Châu
33,PHỞ 24 - ĐÀ NẴNG,https://www.google.com/maps/place/PH%E1%BB%9E+24+-+%C4%90%C3%80+N%E1%BA%B4NG/data=!4m7!3m6!1s0x314219afe5133315:0xfefd2c1ac9946afc!8m2!3d16.0533386!4d108.2024189!16s%2Fg%2F11d_d3kzls!19sChIJFTMT5a8ZQjER_GqUyRos_f4?authuser=0&hl=en&rclk=1,Pho restaurant,3.9,146,"₫1–100,000","Quầy B, Sân Bay Quốc Nội Đà Nẵng, Duy Tân, Hòa Thuận Tây, Hải Châu, Đà Nẵng 550000",16.0533123,108.2024384,2363991184,2025-03-23 13:24:38.040,Hải Châu
34,Nhà hàng Madame Lân,https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Madame+L%C3%A2n/data=!4m7!3m6!1s0x31421831ce4d457b:0xc2f54574a65b6322!8m2!3d16.0814063!4d108.2232528!16s%2Fg%2F11b7vz9kgm!19sChIJe0VNzjEYQjERImNbpnRF9cI?authuser=0&hl=en&rclk=1,Restaurant,4.2,9862,₫₫,"04 Bạch Đằng, Thạch Thang, Hải Châu, Đà Nẵng 550000",16.0814381,108.2233124,905697555,2025-03-23 18:40:09.343,Hải Châu
35,MAD PLATTER Bar & Restaurant,https://www.google.com/maps/place/MAD+PLATTER+Bar+%26+Restaurant/data=!4m7!3m6!1s0x31421749176fe369:0xb83e22faa15ecf13!8m2!3d16.0665398!4d108.2460323!16s%2Fg%2F11svjsh2_b!19sChIJaeNvF0kXQjERE89eofoiPrg?authuser=0&hl=en&rclk=1,Restaurant,4.6,632,Unknown,"Lot 07 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 550000",16.0665627,108.2460632,878862081,2025-03-23 19:25:54.627,Sơn Trà
36,ISH - The Indian Restaurant,https://www.google.com/maps/place/ISH+-+The+Indian+Restaurant/data=!4m7!3m6!1s0x31421941e6b07ad7:0x6e429370204ad953!8m2!3d16.0629682!4d108.2303496!16s%2Fg%2F11vwvzvttm!19sChIJ13qw5kEZQjERU9lKIHCTQm4?authuser=0&hl=en&rclk=1,Indian restaurant,4.7,207,₫100–200K,"507 Đ. Trần Hưng Đạo, An Hải Trung, Sơn Trà, Đà Nẵng 550000",16.0629368,108.2303162,386432514,2025-03-23 20:50:29.760,Sơn Trà
37,Tuyen Son Restaurant,https://www.google.com/maps/place/Tuyen+Son+Restaurant/data=!4m7!3m6!1s0x3142175f0a556fb5:0xded9f2d1a31a1e96!8m2!3d16.0605924!4d108.2050233!16s%2Fg%2F11b5qvvpkr!19sChIJtW9VCl8XQjERlh4ao9Hy2d4?authuser=0&hl=en&rclk=1,Vietnamese restaurant,3.8,724,₫100–200K,"148 Nguyễn Tri Phương, Chính Gián, Thanh Khê, Đà Nẵng 550000",16.0605621,108.2050629,905336549,2025-03-23 21:32:26.020,Thanh Khê
38,Ngon Thi Hoa Restaurant,https://www.google.com/maps/place/Ngon+Thi+Hoa+Restaurant/data=!4m7!3m6!1s0x314217f73d08ac15:0x8e8c11da1f1becf!8m2!3d16.0489222!4d108.245814!16s%2Fg%2F11j79lpf_3!19sChIJFawIPfcXQjERz77xoR3B6Ag?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.2,1106,₫₫,"100 Lê Quang Đạo, Str, Ngũ Hành Sơn, Đà Nẵng 550000",16.0489368,108.2458115,967220100,2025-03-23 22:13:09.247,Ngũ Hành Sơn
39,"Shamballa Vegetarian, Greenhouse & Rooftop Bar - Da Nang","https://www.google.com/maps/place/Shamballa+Vegetarian,+Greenhouse+%26+Rooftop+Bar+-+Da+Nang/data=!4m7!3m6!1s0x314219fb83f4da6f:0x68819808031db12e!8m2!3d16.0758608!4d108.2289924!16s%2Fg%2F11jycm852w!19sChIJb9r0g_sZQjERLrEdAwiYgWg?authuser=0&hl=en&rclk=1",Vegetarian restaurant,4.8,553,₫,"277 Đ. Trần Hưng Đạo, An Hải Bắc, Sơn Trà, Đà Nẵng 550000",16.0758133,108.2289352,775648668,2025-03-23 22:55:31.893,Sơn Trà
40,Rasoi Indian Pure veg restaurant,https://www.google.com/maps/place/Rasoi+Indian+Pure+veg+restaurant/data=!4m7!3m6!1s0x31421992fdc4687d:0x10c3dc52e56b59cb!8m2!3d16.0484972!4d108.2461956!16s%2Fg%2F11nm9t0zvp!19sChIJfWjE_ZIZQjERy1lr5VLcwxA?authuser=0&hl=en&rclk=1,Indian restaurant,4.6,1278,₫100–200K,"201 Lê Quang Đạo, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000",16.0484371,108.2461853,379969559,2025-03-23 23:43:36.073,Ngũ Hành Sơn
42,Nhà Hàng 3 Big - Nướng & Lẩu Hàn Quốc,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+3+Big+-+N%C6%B0%E1%BB%9Bng+%26+L%E1%BA%A9u+H%C3%A0n+Qu%E1%BB%91c/data=!4m7!3m6!1s0x31421917b3f6f603:0xb2e30c5e8fc363f5!8m2!3d16.0639665!4d108.2197333!16s%2Fg%2F11rgrrjxrv!19sChIJA_b2sxcZQjER9WPDj14M47I?authuser=0&hl=en&rclk=1,Buffet restaurant,4.9,11891,₫100–200K,"134 Phan Châu Trinh, Phước Ninh, Hải Châu, Đà Nẵng 550000",16.0639381,108.2196884,2363569000,2025-03-21 13:49:35.060,Hải Châu
43,Cardi Pizzeria Bạch Đằng,https://www.google.com/maps/place/Cardi+Pizzeria+B%E1%BA%A1ch+%C4%90%E1%BA%B1ng/data=!4m7!3m6!1s0x3142199318c6349f:0xa838827f192464e4!8m2!3d16.067733!4d108.2247892!16s%2Fg%2F11tf3pj5x_!19sChIJnzTGGJMZQjER5GQkGX-COKg?authuser=0&hl=en&rclk=1,Steak house,4.8,1693,Unknown,"124 Bạch Đằng, P, Hải Châu, Đà Nẵng 55000",16.067688,108.2248154,989232315,2025-03-21 15:24:18.457,Hải Châu
44,Nhà Gỗ Restaurant Da Nang,https://www.google.com/maps/place/Nh%C3%A0+G%E1%BB%97+Restaurant+Da+Nang/data=!4m7!3m6!1s0x3142196e455d2b63:0xafc2ec3a033d5eeb!8m2!3d16.0679495!4d108.2232911!16s%2Fg%2F11wqtkbc2s!19sChIJYytdRW4ZQjER6149Azrswq8?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.9,895,₫100–200K,"49 Nguyễn Thái Học, Hải Châu 1, Hải Châu, Đà Nẵng 550000",16.0679379,108.2233124,342454487,2025-03-21 16:11:45.233,Hải Châu
45,TOM82 DANANG Restaurant - 다낭 똠팔이,https://www.google.com/maps/place/TOM82+DANANG+Restaurant+-+%EB%8B%A4%EB%82%AD+%EB%98%A0%ED%8C%94%EC%9D%B4/data=!4m7!3m6!1s0x314219c2de719445:0xb4cc3b6f7e04c73a!8m2!3d16.0650365!4d108.2215179!16s%2Fg%2F11sd5g35gt!19sChIJRZRx3sIZQjEROscEfm87zLQ?authuser=0&hl=en&rclk=1,Restaurant,4.8,462,"₫1,000,000+","61 Thái Phiên, Phước Ninh, Hải Châu, Đà Nẵng 550000",16.0650616,108.2215652,934777005,2025-03-21 18:21:34.210,Hải Châu
46,Gujarat Indian Restaurant Da nang,https://www.google.com/maps/place/Gujarat+Indian+Restaurant+Da+nang/data=!4m7!3m6!1s0x3142172a2c4a5cb3:0x726ecf4296b0c395!8m2!3d16.0515352!4d108.2459283!16s%2Fg%2F11txhr7kc6!19sChIJs1xKLCoXQjERlcOwlkLPbnI?authuser=0&hl=en&rclk=1,Indian restaurant,4.7,3749,₫100–300K,"39-41 Đ. Đỗ Bá, WARD, Ngũ Hành Sơn, Đà Nẵng 550000",16.0515633,108.2459412,395528747,2025-03-21 19:28:42.213,Ngũ Hành Sơn
47,Xóm Mới Garden Đà Nẵng (씀모이가든 다낭),https://www.google.com/maps/place/X%C3%B3m+M%E1%BB%9Bi+Garden+%C4%90%C3%A0+N%E1%BA%B5ng+%28%EC%94%80%EB%AA%A8%EC%9D%B4%EA%B0%80%EB%93%A0+%EB%8B%A4%EB%82%AD%29/data=!4m7!3m6!1s0x314219b8ec8aa88d:0x549d60ff0ccf0b49!8m2!3d16.0635047!4d108.2232139!16s%2Fg%2F11vryhb3c0!19sChIJjaiK7LgZQjERSQvPDP9gnVQ?authuser=0&hl=en&rclk=1,Vietnamese restaurant,4.9,4958,₫100–300K,"222 Trần Phú,phường Phước Ninh, Đà Nẵng, 552760",16.0635624,108.2231903,931951004,2025-03-21 20:15:15.737,Không xác định
